Name,Mortality,Original_Mortality,New_Mort,dnbr,Mortality_Qualitative,prefire_cover,new_cover,Veg_Assoc,elev,slope,temp,sr,precip,tpi,cwd,vpd_Aug,twi,Mean Aspect ,flow,area,southwestness,vpd_jan,fri,wind_speed,wind_direction,wind_exposition,elev_d,slope_d,temp_d,sr_d,precip_d,tpi_d,cwd_d,vpd_a_d,twi_d,area_d,vpd_j_d,elev_p,slope_p,temp_p,sr_p,precip_p,tpi_p,cwd_p,vpd_a_p,twi_p,area_p,vpd_j_p,landscape_position,cwd_2
1294,5,High,high,0.628499,High,High (75-100%),high,Chap/Oak,975.36177,28.499198,34.623726,1068352.63,905.577469,-1.840401,975.542955,45.530322,5.163346,181.892975,0.811644,8461.938082,0.640787947,12.590387,100,13.728918,285.043794,0.981026,10%,30%,100%,30%,80%,60%,10%,90%,70%,60%,100%,25%,25%,100%,50%,100%,75%,25%,100%,75%,75%,100%,Midslope with Drainage,872.934872
1295,5,High,high,0.615873,High,High (75-100%),high,Chap/Oak,1011.311154,32.417243,34.47379,1220995.878,908.709541,-2.045117,1011.234696,44.919813,4.974263,237.927337,0.950294,39550.4328,0.935555954,12.203047,100,14.118996,289.942844,0.987323,10%,50%,90%,50%,80%,50%,10%,90%,60%,90%,90%,25%,50%,100%,50%,100%,50%,25%,100%,75%,100%,100%,Midslope with Drainage,870.379136
1296,4,Moderate,moderate,0.498645,Moderate,High (75-100%),high,Chap/Oak,1031.646039,31.246048,34.376382,1087303.797,910.21333,-0.085651,1030.20814,44.555744,4.158857,151.435155,0.405449,3905.758359,-0.259575258,11.970818,100,14.218922,295.070659,1.011778,10%,40%,90%,30%,80%,80%,10%,80%,30%,40%,90%,25%,50%,100%,50%,100%,100%,25%,100%,25%,50%,100%,Midslope with Drainage,868.724086
1297,5,High,high,0.184105,High,Moderate (25-50%),moderate_low,Chap/Oak,994.267639,48.757958,34.451355,1259328.898,904.392359,0.134666,994.267639,44.969321,2.897634,327.160423,0.227741,1124.348953,-0.05862812,12.594006,100,13.196407,282.293085,1.045821,10%,100%,90%,50%,80%,90%,10%,90%,10%,10%,100%,25%,100%,100%,50%,100%,100%,25%,100%,25%,25%,100%,Upmost,869.173364
1298,5,High,high,0.352781,High,Moderate-High(50-75%),moderate,Chap/Oak,874.978214,45.811313,34.324395,1141786.458,903.21624,2.116805,874.978214,44.494023,3.047367,335.138482,0.310394,2959.787566,-0.983349618,12.590224,100,12.50088,281.417145,0.936106,10%,100%,90%,40%,80%,100%,10%,80%,10%,30%,100%,25%,100%,100%,50%,75%,100%,25%,100%,25%,50%,100%,Midslope,875.320276
1299,5,High,high,0.361618,High,Very Low(0-5%),low,Chap/Oak,1041.795461,35.319782,33.771448,1115278.566,912.135732,-0.183302,1041.986586,42.911067,4.531276,108.264397,0.752078,53733.65807,-0.879171885,11.812358,100,13.145178,288.474253,1.030189,10%,70%,80%,40%,80%,80%,10%,70%,40%,100%,90%,25%,75%,100%,50%,100%,100%,25%,75%,50%,100%,100%,Midslope,845.657424
1300,1,Very Low,low,0.030105,Low,Moderate-High(50-75%),moderate,Chap/Oak,1426.542739,40.394871,33.985143,704215.1662,527.452978,1.984985,1426.769751,45.044774,3.762931,160.515132,0.6098,24265.73871,-0.082126001,10.15942,100,18.329968,296.339925,1.163797,70%,100%,90%,10%,20%,100%,70%,90%,10%,80%,60%,75%,100%,100%,25%,25%,100%,75%,100%,25%,100%,75%,Midslope,947.642393
1301,2,Low,ml,-0.074173,Low,Moderate-High(50-75%),moderate,Chap/Oak,1468.768515,42.311046,33.454803,569045.1048,560.133542,0.956798,1469.287731,42.773984,3.567977,182.65266,0.514547,5617.308274,-0.064116812,9.688428,100,18.141497,300.360262,1.155334,80%,100%,70%,10%,30%,90%,80%,70%,10%,50%,40%,100%,100%,75%,25%,25%,100%,100%,75%,25%,50%,50%,Midslope,936.55855
1302,2,Low,ml,0.14055,Low,Moderate (25-50%),moderate_low,Chap/Oak,1458.280269,37.315089,33.27157,1589656.014,573.593237,-2.51537,1459.215901,42.580454,4.418542,56.266528,0.773798,12047.64045,0.611745319,9.603517,100,16.098442,295.3223,1.121703,80%,90%,70%,70%,30%,40%,80%,70%,40%,70%,40%,100%,100%,75%,75%,50%,50%,100%,75%,50%,75%,50%,Midslope with Drainage,920.585441
1303,2,Low,ml,0.067076,Low,Moderate-High(50-75%),moderate,Chap/Oak,1531.106609,36.643092,32.698585,1070406.656,614.675216,-0.375708,1531.374386,39.348907,4.381554,116.569259,0.718485,116631.5206,-0.045778447,9.157495,100,13.122766,300.023405,1.163032,90%,80%,50%,30%,40%,80%,90%,50%,40%,100%,30%,100%,100%,50%,50%,50%,100%,100%,50%,50%,100%,25%,Midslope with Drainage,895.192958
