Name,Mortality,Original_Mortality,New_Mort,dnbr,Mortality_Qualitative,prefire_cover,new_cover,Veg_Assoc,elev,slope,temp,sr,precip,tpi,cwd,vpd_Aug,twi,Mean Aspect ,flow,area,southwestness,vpd_jan,fri,wind_speed,wind_direction,wind_exposition,elev_d,slope_d,temp_d,sr_d,precip_d,tpi_d,cwd_d,vpd_a_d,twi_d,area_d,vpd_j_d,elev_p,slope_p,temp_p,sr_p,precip_p,tpi_p,cwd_p,vpd_a_p,twi_p,area_p,vpd_j_p,landscape_position,cwd_2
1245,1,Very Low,low,0.163469,Low,High (75-100%),high,Chap/Oak,1294.397468,26.732928,33.034858,1963364.576,695.746723,-2.325405,1294.620346,42.008886,5.238231,150.490475,0.96711,54578.85541,0.630422708,9.832471,100,12.263059,311.256992,0.978356,50%,20%,60%,90%,50%,50%,50%,60%,70%,100%,50%,50%,25%,75%,100%,50%,50%,50%,75%,75%,100%,50%,Adjacent to Bed,931.673801
1246,2,Low,ml,0.412797,Low,Moderate (25-50%),moderate_low,Chap,1373.634705,40.112574,32.953782,1211435.82,696.427986,-0.914658,1373.634705,42.007515,3.506685,30.829108,0.648682,696.616293,0.820876347,9.863224,100,12.274386,310.533534,1.124543,60%,100%,60%,50%,50%,70%,60%,60%,10%,10%,50%,75%,100%,75%,50%,50%,75%,75%,75%,25%,25%,50%,Midslope,918.512748
1249,0,None,low,-0.070595,None,High (75-100%),high,Chap/Oak,1454.406137,40.826546,32.410054,888327.6875,724.333679,-4.056331,1453.017512,39.775765,3.942094,339.227145,0.590509,1298.637867,0.426832117,9.361522,100,14.10907,315.77938,1.14781,80%,100%,50%,20%,60%,30%,80%,50%,20%,20%,40%,100%,100%,50%,25%,75%,25%,75%,50%,25%,25%,50%,Upmost,904.616481
1250,0,None,low,0.476964,None,Moderate-High(50-75%),moderate,Chap/Oak,1411.122221,35.382589,32.456268,1997579.429,723.86935,-4.141009,1410.154184,40.210938,5.00197,288.425016,0.748365,1254.381706,0.829176796,9.439745,100,14.597057,315.528564,1.099214,70%,70%,50%,90%,60%,30%,70%,50%,70%,20%,40%,75%,75%,50%,100%,75%,25%,75%,50%,75%,25%,50%,Midslope with Drainage,894.579468
1251,0,None,low,-0.013453,None,Moderate (25-50%),moderate_low,Chap/Oak,1448.478373,37.589581,32.413412,834277.1875,726.950267,0.548564,1448.478373,40.090925,3.712541,279.769141,0.338904,619.244613,-0.207218061,9.501488,100,14.771618,316.54808,1.177445,80%,90%,50%,10%,60%,90%,80%,50%,10%,10%,40%,75%,100%,50%,25%,75%,100%,75%,50%,25%,25%,50%,Upmost,898.776225
1252,0,None,low,-0.013446,None,High (75-100%),high,Oak,1406.822713,43.576307,32.457792,809455.5,724.427307,0.431274,1406.822713,40.249289,4.169321,9.2944,0.864429,343.071541,-0.485122481,9.447897,100,14.770784,315.64823,1.089626,70%,100%,50%,10%,60%,90%,70%,50%,30%,10%,40%,75%,100%,50%,25%,75%,100%,75%,50%,25%,25%,50%,Midslope,888.209106
1253,3,Moderate,moderate,0.421026,Moderate,Moderate-High(50-75%),moderate,Chap,1392.181483,20.425789,32.368191,2737775.348,734.692915,-2.698897,1391.690722,39.914238,6.813291,182.407411,1.11505,2848.213712,0.180100063,9.679232,100,15.358577,317.209775,1.033965,70%,10%,50%,100%,60%,40%,70%,50%,100%,30%,40%,75%,25%,50%,100%,75%,50%,75%,50%,100%,50%,50%,Adjacent to Bed,901.974157
1254,2,Low,ml,0.257178,Low,Moderate-High(50-75%),moderate,Chap/Oak,1370.329113,21.675511,32.339184,2698432.315,737.218355,-3.779746,1371.2186,39.619457,5.479238,158.248397,0.983041,7399.815924,-0.712208281,9.769038,100,14.253921,317.054095,1.012516,60%,10%,50%,100%,60%,30%,60%,50%,80%,50%,50%,75%,25%,50%,100%,75%,25%,75%,50%,100%,50%,50%,Midslope with Drainage,907.560228
1255,2,Low,ml,0.439999,Low,Moderate-High(50-75%),moderate,Chap/Oak,1392.001003,26.855091,32.16505,2611446.566,746.491945,-5.120793,1391.890109,39.726909,6.359355,223.130287,1.263666,13746.17759,-0.294485092,9.763458,100,16.057434,312.434849,1.04444,70%,20%,40%,100%,60%,20%,70%,50%,100%,70%,50%,75%,25%,50%,100%,75%,25%,75%,50%,100%,75%,50%,Midslope with Drainage,854.98449
1259,5,High,high,0.675839,High,Moderate-High(50-75%),moderate,Chap/Oak,1325.285403,31.690405,32.163796,1071840.176,775.474575,2.216005,1325.475391,40.030126,4.184702,22.244626,0.523552,3962.855385,-0.122340586,10.3147,100,12.362339,309.422624,1.069833,50%,50%,40%,30%,60%,100%,50%,50%,30%,40%,60%,50%,50%,50%,50%,75%,100%,50%,50%,25%,50%,75%,Midslope,854.462325
1260,0,None,low,0.158627,None,Moderate-High(50-75%),moderate,Chap/Oak,1265.316034,27.184734,32.345518,1622653.967,769.884593,-0.931961,1265.91115,40.528797,4.36062,52.651829,0.914524,9203.357056,-0.904996451,10.407947,74,11.520928,310.977548,0.979901,40%,20%,50%,80%,60%,70%,40%,60%,40%,60%,60%,50%,25%,50%,75%,75%,75%,50%,75%,50%,75%,75%,Adjacent to Bed,861.799187
1261,0,None,low,0.14438,None,Moderate-High(50-75%),moderate,Chap/Oak,1242.239785,24.402268,32.558233,1568352.832,771.096926,-3.681731,1242.413138,41.120278,5.711692,82.151943,1.261976,8510.961811,-0.094268556,10.4566,74,11.533301,308.952905,0.940438,30%,20%,50%,70%,60%,30%,30%,60%,90%,60%,60%,50%,25%,50%,75%,75%,25%,50%,75%,100%,75%,75%,Valley/River Bottom,892.277719
1262,1,Very Low,low,0.36514,Low,Moderate-High(50-75%),moderate,Chap/Oak,1263.476651,32.190415,32.396007,1023116.73,780.994189,-3.923591,1263.029209,40.761211,4.892814,341.071466,1.359404,7431.804335,-0.986010946,10.504817,74,11.655704,305.582096,0.96671,40%,50%,50%,30%,60%,30%,40%,60%,60%,50%,60%,50%,50%,50%,25%,75%,25%,50%,75%,75%,50%,75%,Adjacent to Bed,855.456966
1265,1,Very Low,low,0.143624,Low,High (75-100%),high,Chap/Oak,1407.847861,30.816697,31.20148,1554073.086,837.71924,-2.956046,1408.395853,36.27245,4.921283,140.438193,0.877513,39547.52994,-0.966082168,9.439409,74,12.342422,305.091508,1.076644,70%,40%,30%,70%,70%,40%,70%,30%,60%,90%,40%,75%,50%,25%,75%,75%,50%,75%,50%,75%,100%,50%,Midslope with Drainage,805.128884
1266,2,Low,ml,0.41956,Low,Moderate-High(50-75%),moderate,Chap/Oak,1526.992974,37.279796,30.921197,1886514.633,878.896349,-3.138141,1527.744333,34.818446,4.477658,77.030798,0.726508,6055.704358,-0.950998399,9.03439,74,13.207823,300.22057,1.176379,90%,90%,20%,90%,80%,40%,90%,30%,40%,50%,30%,100%,100%,25%,100%,75%,50%,100%,25%,50%,50%,25%,Upmost with Drainage,788.750701
1267,0,None,low,0.061241,None,Moderate (25-50%),moderate_low,Chap/Oak,1523.172441,34.376418,30.897348,1707618.114,874.597101,2.82433,1523.172441,34.83999,3.892957,60.327542,0.365667,996.4808,0.25819783,9.010187,74,12.97688,300.322764,1.183502,90%,70%,20%,80%,80%,100%,90%,30%,20%,10%,20%,100%,75%,25%,100%,75%,100%,100%,25%,25%,25%,25%,Upmost,794.524767
1270,2,Low,ml,0.165256,Low,Moderate-High(50-75%),moderate,Chap/Oak,1336.393595,28.51282,31.612464,1159551.883,813.796736,-2.23721,1336.241946,38.479536,5.33083,286.959962,0.899694,20532.43788,0.643379994,9.976361,74,12.001097,303.596373,1.021927,50%,30%,30%,40%,70%,50%,50%,40%,80%,80%,50%,50%,25%,50%,50%,75%,50%,50%,50%,75%,75%,50%,Midslope with Drainage,816.994154
1271,1,Very Low,low,0.332703,Low,High (75-100%),high,Chap/Oak,1339.254469,29.988803,31.82953,1241159.867,808.32617,-2.147643,1339.087248,39.202528,4.792187,248.680124,0.774997,16468.84499,0.117904203,10.167541,74,11.773067,301.878954,1.035317,50%,40%,40%,50%,70%,50%,50%,50%,50%,70%,60%,50%,50%,50%,50%,75%,50%,50%,50%,50%,75%,75%,Midslope with Drainage,810.708221
1272,1,Very Low,low,0.21363,Low,High (75-100%),high,Chap/Oak,1388.344759,33.139258,31.758416,1358422.944,810.267683,-1.25627,1388.477073,37.959802,4.799212,172.82509,0.813839,124090.1735,-0.332196352,9.866648,74,11.8489,303.257298,1.083121,70%,60%,30%,60%,70%,70%,70%,40%,60%,100%,50%,75%,75%,50%,75%,75%,75%,75%,50%,75%,100%,50%,Midslope with Drainage,793.00235
1273,3,Moderate,moderate,0.152237,Moderate,Moderate (25-50%),moderate_low,Chap/Oak,1299.678763,17.107409,31.384908,2471805.46,830.897099,-2.708456,1299.86933,36.673245,6.81889,154.12657,1.34205,25428.13829,-0.18649692,9.622234,74,10.926296,324.198695,0.978264,50%,10%,30%,100%,70%,40%,50%,30%,100%,80%,40%,50%,25%,50%,100%,75%,50%,50%,50%,100%,100%,50%,Valley/River Bottom,845.145492
1274,0,None,low,0.272037,None,Moderate-High(50-75%),moderate,Chap/Oak,1229.008644,13.6089,31.870679,2663871.054,863.697704,-4.716128,1228.520715,39.07053,9.834653,246.04211,2.133809,2085.006218,-0.582464858,10.139194,74,9.618306,317.839156,0.935809,30%,10%,40%,100%,70%,20%,30%,50%,100%,20%,60%,25%,25%,50%,100%,75%,25%,25%,50%,100%,25%,75%,Adjacent to Bed,938.935652
1276,3,Moderate,moderate,0.577299,Moderate,Moderate-High(50-75%),moderate,Chap/Oak,1273.481527,33.960024,31.846293,1383805.121,893.878638,-10.52852,1273.481527,38.948871,6.178661,36.685321,1.23603,2620.486333,0.983685727,10.07329,74,10.644717,294.47685,0.980421,40%,60%,40%,60%,80%,10%,40%,50%,100%,30%,50%,50%,75%,50%,75%,75%,25%,50%,50%,100%,25%,50%,Midslope with Drainage,908.093607
1277,1,Very Low,low,0.492358,Low,Moderate-High(50-75%),moderate,Chap/Oak,1238.376235,32.145732,31.790972,1004400.211,895.799722,-4.785235,1238.657635,38.575512,5.460171,26.861351,1.315517,7100.255873,-0.976264469,10.155176,74,10.650856,286.609045,0.980062,30%,50%,40%,30%,80%,20%,30%,50%,80%,50%,60%,50%,50%,50%,25%,75%,25%,50%,50%,100%,50%,75%,Adjacent to Bed,893.941595
1278,1,Very Low,low,0.355155,Low,High (75-100%),high,Chap/Oak,1287.243578,29.45403,31.786913,1207071.452,895.017926,-0.599564,1288.382723,38.477142,4.942337,66.296499,0.916752,3208.715793,-0.053047083,10.181899,74,10.788017,285.189405,1.054139,40%,30%,40%,50%,80%,80%,40%,40%,60%,30%,60%,50%,50%,50%,50%,75%,75%,50%,50%,75%,50%,75%,Upmost with Drainage,889.662454
1279,1,Very Low,low,0.369883,Low,High (75-100%),high,Chap/Oak,1295.324634,32.791947,31.820427,1256623.518,886.531681,-4.119719,1296.044286,38.640803,5.891116,200.171416,1.175324,14307.56525,0.954099692,10.354661,74,11.737916,290.256519,1.050754,50%,50%,40%,50%,80%,30%,50%,50%,90%,70%,60%,50%,50%,50%,50%,75%,25%,50%,50%,100%,75%,75%,Upmost with Drainage,875.919353
1280,5,High,high,0.726854,High,Moderate-High(50-75%),moderate,Chap/Oak,1269.50689,32.912205,31.868449,895203.4753,878.594657,0.292817,1269.817728,38.889742,5.271498,191.969737,1.105266,12358.81934,-0.043526382,10.424813,74,11.804444,290.098845,1.04806,40%,60%,40%,20%,80%,90%,40%,50%,80%,70%,60%,50%,75%,50%,25%,75%,100%,50%,50%,75%,75%,75%,Midslope with Drainage,876.870135
1281,0,None,low,0.453655,None,Moderate-High(50-75%),moderate,Chap/Oak,1274.892926,29.800031,31.6786,1591831.138,919.205535,-9.346739,1272.918621,37.955471,5.529192,312.133566,1.14059,2572.626694,0.674116588,10.263574,74,10.9533,305.120767,1.022476,40%,30%,30%,70%,80%,10%,40%,40%,80%,30%,60%,50%,50%,50%,75%,100%,25%,50%,50%,100%,25%,75%,Midslope with Drainage,917.932954
1282,1,Very Low,low,0.293796,Low,Moderate (25-50%),moderate_low,Chap/Oak,1238.236584,35.089122,31.481966,899845.5599,946.627127,-1.045886,1237.817486,37.67185,5.220466,286.624601,1.067523,16900.82831,0.355589071,10.327085,74,11.96939,308.714083,1.003551,30%,70%,30%,20%,90%,70%,30%,40%,70%,70%,60%,50%,75%,50%,25%,100%,75%,50%,50%,75%,75%,75%,Midslope,887.330448
1283,2,Low,ml,0.405345,Low,Moderate-High(50-75%),moderate,Chap/Oak,1153.399121,31.988834,31.72643,1438535.575,932.202087,-3.323401,1153.399121,38.043317,4.348444,41.555514,0.720322,905.990687,0.33224636,10.385109,74,11.199069,319.648361,0.91709,20%,50%,30%,70%,90%,30%,20%,40%,40%,10%,60%,25%,50%,50%,75%,100%,50%,25%,50%,50%,25%,75%,Midslope,914.977134
1284,0,None,low,0.445847,None,Moderate-High(50-75%),moderate,Chap/Oak,1140.614386,23.997949,31.802448,2657607.225,932.236313,-6.255585,1140.193188,38.220077,7.347717,183.850859,1.615466,1659.251968,-0.952809364,10.464734,74,11.259522,321.655146,0.908379,10%,10%,40%,100%,90%,10%,10%,40%,100%,20%,60%,25%,25%,50%,100%,100%,25%,25%,50%,100%,25%,75%,Bed,917.290337
1285,0,None,low,0.301199,None,Moderate-High(50-75%),moderate,Chap/Oak,1123.728637,17.464976,31.913659,2334860.745,931.048125,-4.287363,1123.67465,38.529882,6.954373,110.995155,1.652118,10098.88651,0.615710126,10.561502,74,11.115584,318.331353,0.905622,10%,10%,40%,100%,90%,20%,10%,50%,100%,60%,70%,25%,25%,50%,100%,100%,25%,25%,50%,100%,75%,75%,Midslope with Drainage,923.378361
1286,5,High,high,0.639839,High,Moderate-High(50-75%),moderate,Chap/Oak,1187.688029,34.745636,31.839111,2478273.982,938.497716,-2.353716,1188.029593,38.988533,5.521041,92.129448,1.007599,1271.395373,0.602903765,10.809572,74,11.714258,302.703808,0.994562,20%,70%,40%,100%,90%,50%,20%,50%,80%,20%,70%,25%,75%,50%,100%,100%,50%,25%,50%,100%,25%,75%,Midslope,928.760703
1287,4,Moderate,moderate,0.479825,Moderate,Moderate-High(50-75%),moderate,Chap/Oak,1089.160182,16.216824,32.118289,1393828.846,923.706614,-4.571073,1090.04561,39.059531,5.787911,39.381278,1.342982,2608.238433,-0.965156525,10.741768,74,11.100214,320.222356,0.884743,10%,10%,40%,60%,80%,20%,10%,50%,90%,30%,70%,25%,25%,50%,75%,100%,25%,25%,50%,100%,25%,75%,Midslope,921.16585
1288,2,Low,ml,0.49891,Low,Moderate (25-50%),moderate_low,Chap/Oak,1175.528621,42.100544,32.020689,1081419.167,935.532768,-0.508134,1174.99819,39.14072,4.443185,22.477939,0.667596,4460.003911,0.110439413,10.813516,74,11.454586,304.968322,0.983621,20%,100%,40%,30%,90%,80%,20%,50%,40%,40%,70%,25%,100%,50%,50%,100%,75%,25%,50%,50%,50%,75%,Midslope,928.084504
1289,5,High,high,0.486227,High,Moderate-High(50-75%),moderate,Chap/Oak,897.165676,24.939725,34.646035,1151258.484,900.654219,-1.992413,897.270823,46.042365,5.314043,98.675755,0.963132,6908.430263,0.789661735,13.031843,100,12.991237,278.50251,0.911081,10%,20%,100%,40%,80%,50%,10%,90%,80%,50%,100%,25%,25%,100%,50%,75%,50%,25%,100%,75%,50%,100%,Midslope,878.991453
1290,5,High,high,0.473189,High,Moderate (25-50%),moderate_low,Chap/Oak,960.027202,25.891386,34.595047,1571045.933,903.620674,-2.191201,960.539649,45.512842,5.087936,94.773206,0.781421,10481.89677,-0.148747068,12.725484,100,13.536272,280.955467,0.958644,10%,20%,100%,70%,80%,50%,10%,90%,70%,60%,100%,25%,25%,100%,75%,100%,50%,25%,100%,75%,75%,100%,Midslope,870.866153
1291,5,High,high,0.144392,High,Moderate (25-50%),moderate_low,Chap/Oak,1030.153625,36.768206,34.408842,1481634.625,907.04657,3.175354,1030.153625,44.818642,2.707826,44.929979,0.150515,183.817372,-0.540941882,12.393694,100,13.912805,285.726868,1.039191,10%,80%,90%,70%,80%,100%,10%,80%,10%,10%,100%,25%,100%,100%,75%,100%,100%,25%,100%,25%,25%,100%,Upmost,864.460175
1292,5,High,high,0.612717,High,High (75-100%),high,Chap/Oak,1026.006768,37.942325,34.422907,861333.2768,907.680067,-1.933969,1023.550217,44.88931,4.476545,283.585828,0.861101,2410.65713,-0.449641475,12.348466,100,14.126015,286.884676,1.024292,10%,90%,90%,10%,80%,50%,10%,90%,40%,30%,100%,25%,100%,100%,25%,100%,50%,25%,100%,50%,25%,100%,Midslope,860.650454
1293,5,High,high,0.558717,High,Moderate (25-50%),moderate_low,Chap/Oak,965.518208,31.439623,34.577409,1086830.063,905.440354,-3.047006,965.648548,45.413857,5.596314,336.666021,0.735066,1790.849505,0.139029964,12.583365,100,13.85086,283.594942,0.962142,10%,40%,100%,30%,80%,40%,10%,90%,90%,20%,100%,25%,50%,100%,50%,100%,50%,25%,100%,100%,25%,100%,Midslope,866.893037
